batch;path;response_time
0;4;5.842585
0;2;0.167800
0;3;1.092193
0;3;16.892272
0;3;2.018092
0;0;1.060270
0;3;0.658000
0;0;3.687379
0;3;6.636162
0;2;1.351417
0;4;3.689603
0;3;1.973964
0;4;1.671607
0;3;8.012176
0;3;2.407156
0;0;6.747923
0;3;0.317196
0;2;0.198116
0;3;17.214106
0;0;0.126009
0;3;3.535117
0;4;1.975576
0;0;2.083086
0;0;8.076461
0;3;4.613280
0;0;0.025250
0;2;0.428972
0;4;11.599970
0;0;1.262431
0;0;6.913369
0;4;13.568710
0;0;1.455150
0;3;2.470185
0;0;1.295469
0;0;2.662151
0;2;0.624149
0;4;4.804012
0;3;1.855086
0;0;11.917502
0;2;1.080265
0;3;12.820763
0;0;1.010318
0;2;1.295045
0;3;0.186123
0;4;10.689719
0;3;7.443389
0;2;0.565946
0;0;4.838753
0;3;0.836184
0;2;0.619077
0;4;15.008958
0;0;2.175264
0;2;1.052669
0;0;0.490510
0;3;4.832365
0;4;5.120079
0;4;1.088735
0;3;6.039892
0;4;1.831054
0;2;1.515373
0;2;4.268260
0;0;2.029720
0;3;6.817528
0;4;5.421683
0;2;2.692667
0;3;0.125010
0;2;3.496847
0;4;7.940991
0;3;17.673008
0;0;1.046597
0;4;0.694969
0;0;1.188749
0;3;1.774696
0;3;2.494142
0;3;2.196973
0;0;0.230806
0;4;4.863938
0;3;0.353098
0;3;4.590350
0;3;3.434685
0;2;1.302057
0;0;1.387144
0;2;1.708849
0;2;1.106712
0;0;2.711964
0;4;8.138517
0;0;4.211606
0;4;1.483084
0;0;0.372433
0;3;10.587931
0;3;4.421176
0;0;0.930985
0;2;0.400585
0;0;2.833807
0;3;3.361834
0;3;3.457012
0;0;4.309330
0;4;3.084899
0;0;1.115716
0;3;7.716083
0;3;2.345015
0;3;4.905748
0;2;1.084343
0;0;0.155059
0;2;1.638406
0;2;2.005012
0;3;4.599124
0;0;0.094136
0;2;0.910919
0;4;10.323409
0;2;2.065819
0;0;0.277243
0;2;3.403088
0;2;0.170196
0;0;1.023842
0;3;0.134222
0;4;15.454553
0;3;0.215373
0;0;1.576299
0;0;0.019519
0;2;1.792108
0;2;0.021934
0;2;1.550853
0;0;0.332257
0;2;2.173452
0;3;1.681104
0;4;3.268278
0;4;11.098076
0;3;0.185166
0;0;3.227529
0;3;4.355882
0;0;0.428835
0;3;9.248277
0;2;2.840469
0;3;1.164908
0;0;0.320697
0;0;0.581457
0;3;3.174046
0;3;1.733347
0;3;1.738702
0;3;3.072641
0;0;2.918544
0;3;1.934186
0;3;8.525942
0;2;0.269912
0;3;0.120176
0;0;1.643281
0;2;1.315010
0;0;1.405016
0;4;3.648362
0;0;2.267791
0;2;0.457788
0;3;4.368342
0;3;2.092450
0;4;9.653239
0;3;3.617042
0;3;4.259975
0;2;0.027316
0;4;4.941336
0;3;13.448224
0;2;0.884798
0;2;1.100345
0;3;2.740744
0;0;0.020886
0;0;8.615941
0;2;0.230320
0;0;2.305455
0;3;0.794582
0;3;2.573045
0;2;1.832517
0;4;8.222369
0;3;0.349445
0;0;0.078883
0;2;3.163366
0;2;2.100356
0;4;4.150245
0;3;7.755830
0;4;5.230746
0;0;4.119513
0;0;0.875199
0;2;0.486863
0;3;0.111137
0;4;14.696280
0;0;1.528557
0;0;1.773996
0;3;6.489792
0;0;0.238478
0;0;1.238629
0;3;10.192290
0;2;0.312217
0;3;1.157316
0;2;0.070197
0;4;6.877623
0;0;5.242869
0;3;6.673951
0;3;0.302119
0;4;7.466402
0;2;3.039581
0;0;0.915274
0;3;0.406788
0;3;0.935910
0;3;2.373579
0;3;4.006318
0;0;0.355175
0;2;1.497731
0;0;0.279955
0;2;0.326833
0;3;2.286613
0;3;8.369542
0;3;0.645477
0;2;0.166097
0;0;1.974652
0;3;1.527620
0;2;0.177781
0;3;2.828713
0;4;4.437910
0;2;0.842883
0;3;0.575405
0;3;8.556853
0;2;1.384328
0;3;1.378632
0;0;0.642417
0;4;18.709963
0;4;12.945909
0;3;2.891927
0;3;4.180197
0;3;0.308547
0;3;4.767685
0;3;8.492915
0;4;5.744710
0;4;9.505903
0;0;1.210564
0;3;3.547921
0;0;2.035187
0;0;1.666572
0;3;9.647687
0;0;1.827137
0;0;5.485135
0;3;8.889618
0;4;2.333864
0;3;7.101811
0;4;4.229848
0;0;2.807562
0;3;0.115123
0;3;0.541890
0;0;0.606506
0;2;0.404681
0;3;2.826666
0;3;7.959101
0;3;0.363098
0;3;0.385446
0;0;3.344968
0;0;4.968718
0;0;6.207848
0;3;7.842116
0;3;1.086170
0;4;16.596782
0;0;0.583782
0;3;0.938967
0;4;7.564160
0;0;0.314303
0;4;9.157942
0;3;0.057176
0;0;2.224037
0;0;1.980413
0;0;3.287987
0;2;0.012035
0;3;6.216212
0;3;5.146461
0;0;4.043891
0;4;2.130252
0;0;1.323094
0;3;3.623111
0;4;1.311617
0;3;2.752888
0;0;5.032809
0;0;0.126388
0;0;0.394533
0;0;1.056214
0;0;2.925956
0;3;2.293340
0;3;3.558450
0;3;10.259888
0;3;1.384872
0;0;0.968102
0;3;2.187592
0;0;5.238859
0;4;1.015777
0;4;12.431797
0;3;0.374099
0;3;5.929972
0;4;2.023062
0;3;0.667434
0;3;7.684687
0;3;0.820673
0;3;5.869949
0;3;4.254446
0;4;4.781191
0;0;0.259968
0;3;1.062744
0;4;3.350212
0;3;1.272081
0;3;11.843266
0;0;0.540663
0;0;3.567133
0;3;3.467341
0;4;6.900876
0;0;3.105947
0;3;2.115873
0;3;4.666056
0;0;4.769777
0;0;3.418605
0;3;3.365946
0;3;1.206472
0;3;1.239263
0;0;4.995588
0;4;3.990343
0;3;8.459084
0;3;9.785494
0;2;0.620645
0;0;5.396564
0;0;2.815206
0;3;2.494717
0;0;1.575850
0;0;3.828767
0;0;0.635470
0;4;14.351016
0;3;1.029540
0;0;2.909575
0;3;6.040510
0;4;5.039978
